,brand,titles,titles_tag
2839,skechers,blue clothe fall girls pajamas sporty winter,"[('blue', 'ADJ'), ('clothe', 'NOUN'), ('fall', 'NOUN'), ('girls', 'NOUN'), ('pajamas', 'VERB'), ('sporty', 'ADJ'), ('winter', 'NOUN')]"
2840,skigear,arctix bib cargo clothe medium mens outdoors pant ski small snow sport womens,"[('arctix', 'ADV'), ('bib', 'NOUN'), ('cargo', 'NOUN'), ('clothe', 'NOUN'), ('medium', 'NOUN'), ('mens', 'NOUN'), ('outdoors', 'ADV'), ('pant', 'ADJ'), ('ski', 'NOUN'), ('small', 'ADJ'), ('snow', 'NOUN'), ('sport', 'NOUN'), ('womens', 'NOUN')]"
2841,skip hop,camo clothe dash hop skip,"[('camo', 'VERB'), ('clothe', 'NOUN'), ('dash', 'NOUN'), ('hop', 'NOUN'), ('skip', 'NOUN')]"
2842,skooba / roadwired,advance clothe protection reg roadwired skooba system wrap yellow,"[('advance', 'NOUN'), ('clothe', 'NOUN'), ('protection', 'NOUN'), ('reg', 'NOUN'), ('roadwired', 'VERB'), ('skooba', 'NOUN'), ('system', 'NOUN'), ('wrap', 'NOUN'), ('yellow', 'ADJ')]"
2843,skooba design,black brown case clothe design electronics laptop laptops luxe satchel skin skooba,"[('black', 'ADJ'), ('brown', 'ADJ'), ('case', 'NOUN'), ('clothe', 'NOUN'), ('design', 'NOUN'), ('electronics', 'NOUN'), ('laptop', 'NOUN'), ('laptops', 'NOUN'), ('luxe', 'VERB'), ('satchel', 'ADJ'), ('skin', 'NOUN'), ('skooba', 'NOUN')]"
2844,skullcandy,black button grind headphones hesh macgyver mcg men mic player single skullcandy taptech watch wireless,"[('black', 'ADJ'), ('button', 'NOUN'), ('grind', 'NOUN'), ('headphones', 'NOUN'), ('hesh', 'VERB'), ('macgyver', 'X'), ('mcg', 'X'), ('men', 'NOUN'), ('mic', 'PART'), ('player', 'NOUN'), ('single', 'ADJ'), ('skullcandy', 'ADJ'), ('taptech', 'NOUN'), ('watch', 'NOUN'), ('wireless', 'NOUN')]"
2845,skybell,bronze detail doorbell skybell video wifi,"[('bronze', 'NOUN'), ('detail', 'NOUN'), ('doorbell', 'NOUN'), ('skybell', 'NOUN'), ('video', 'NOUN'), ('wifi', 'NOUN')]"
2846,skytech enterprises,belt black carry case clip clothe coat env genuine hard horizontal leather plastic pouch rubber universal,"[('belt', 'NOUN'), ('black', 'ADJ'), ('carry', 'NOUN'), ('case', 'NOUN'), ('clip', 'NOUN'), ('clothe', 'NOUN'), ('coat', 'NOUN'), ('env', 'NOUN'), ('genuine', 'ADJ'), ('hard', 'ADJ'), ('horizontal', 'ADJ'), ('leather', 'NOUN'), ('plastic', 'NOUN'), ('pouch', 'NOUN'), ('rubber', 'NOUN'), ('universal', 'NOUN')]"
2847,skyway,bag black blue carry case closeout clothe dusty eggplant expandable gear green hunt lake luggage montlake organizer overseas pack piece quot red roll saga set sigma sky skyway taupe track trade travel ultra vertical weight,"[('bag', 'NOUN'), ('black', 'ADJ'), ('blue', 'ADJ'), ('carry', 'NOUN'), ('case', 'NOUN'), ('closeout', 'NOUN'), ('clothe', 'NOUN'), ('dusty', 'ADJ'), ('eggplant', 'ADJ'), ('expandable', 'ADJ'), ('gear', 'NOUN'), ('green', 'ADJ'), ('hunt', 'NOUN'), ('lake', 'NOUN'), ('luggage', 'NOUN'), ('montlake', 'NOUN'), ('organizer', 'NOUN'), ('overseas', 'ADJ'), ('pack', 'NOUN'), ('piece', 'NOUN'), ('quot', 'NOUN'), ('red', 'ADJ'), ('roll', 'NOUN'), ('saga', 'NOUN'), ('set', 'VERB'), ('sigma', 'NOUN'), ('sky', 'NOUN'), ('skyway', 'NOUN'), ('taupe', 'NOUN'), ('track', 'NOUN'), ('trade', 'NOUN'), ('travel', 'NOUN'), ('ultra', 'ADJ'), ('vertical', 'ADJ'), ('weight', 'NOUN')]"
2848,slappa,accessories backpack black blue case clamshell clothe complete computers dvd electronics finish game gps graphite hardbody insert laptop navigation players pro psp pvc rubberize silver slappa slide spyder storage suede velocity video wave white,"[('accessories', 'NOUN'), ('backpack', 'VERB'), ('black', 'ADJ'), ('blue', 'ADJ'), ('case', 'NOUN'), ('clamshell', 'NOUN'), ('clothe', 'NOUN'), ('complete', 'ADJ'), ('computers', 'NOUN'), ('dvd', 'VERB'), ('electronics', 'NOUN'), ('finish', 'NOUN'), ('game', 'NOUN'), ('gps', 'NOUN'), ('graphite', 'NOUN'), ('hardbody', 'NOUN'), ('insert', 'VERB'), ('laptop', 'NOUN'), ('navigation', 'NOUN'), ('players', 'NOUN'), ('pro', 'ADJ'), ('psp', 'NOUN'), ('pvc', 'NOUN'), ('rubberize', 'VERB'), ('silver', 'NOUN'), ('slappa', 'NOUN'), ('slide', 'VERB'), ('spyder', 'ADJ'), ('storage', 'NOUN'), ('suede', 'NOUN'), ('velocity', 'NOUN'), ('video', 'NOUN'), ('wave', 'NOUN'), ('white', 'ADJ')]"
2849,slash,clothe guitar shirt slash,"[('clothe', 'NOUN'), ('guitar', 'NOUN'), ('shirt', 'NOUN'), ('slash', 'NOUN')]"
2850,slazenger,clothe long mens mock slazenger sleeve,"[('clothe', 'NOUN'), ('long', 'ADJ'), ('mens', 'VERB'), ('mock', 'ADJ'), ('slazenger', 'NOUN'), ('sleeve', 'NOUN')]"
2851,sleeptop,black bra clothe low neck sleep sleeptop top white,"[('black', 'ADJ'), ('bra', 'NOUN'), ('clothe', 'NOUN'), ('low', 'ADJ'), ('neck', 'NOUN'), ('sleep', 'NOUN'), ('sleeptop', 'NOUN'), ('top', 'ADJ'), ('white', 'ADJ')]"
2852,slgilbert,big bind burgundy calf cardin clothe gilbert non nosize pierre reg sock tall width wonder,"[('big', 'ADJ'), ('bind', 'NOUN'), ('burgundy', 'NOUN'), ('calf', 'NOUN'), ('cardin', 'NOUN'), ('clothe', 'NOUN'), ('gilbert', 'X'), ('non', 'X'), ('nosize', 'X'), ('pierre', 'X'), ('reg', 'NOUN'), ('sock', 'VERB'), ('tall', 'ADJ'), ('width', 'ADJ'), ('wonder', 'NOUN')]"
2853,slipknot,babydoll clothe infection ladies latex long mask ringer sleeve slipknot vintage,"[('babydoll', 'NOUN'), ('clothe', 'NOUN'), ('infection', 'NOUN'), ('ladies', 'NOUN'), ('latex', 'VERB'), ('long', 'ADJ'), ('mask', 'NOUN'), ('ringer', 'NOUN'), ('sleeve', 'NOUN'), ('slipknot', 'ADJ'), ('vintage', 'NOUN')]"
2854,sloggi,black bra clothe crop hipster label panty sensual sloggi top white,"[('black', 'ADJ'), ('bra', 'NOUN'), ('clothe', 'NOUN'), ('crop', 'NOUN'), ('hipster', 'NOUN'), ('label', 'NOUN'), ('panty', 'NOUN'), ('sensual', 'ADJ'), ('sloggi', 'NOUN'), ('top', 'ADJ'), ('white', 'NOUN')]"
2855,smack apparel,baseball beat boston clothe dynasty fear football hat large medium michigan ohio osu quot shirt smack state still vest woody york,"[('baseball', 'NOUN'), ('beat', 'VERB'), ('boston', 'NOUN'), ('clothe', 'NOUN'), ('dynasty', 'NOUN'), ('fear', 'NOUN'), ('football', 'NOUN'), ('hat', 'NOUN'), ('large', 'ADJ'), ('medium', 'NOUN'), ('michigan', 'NOUN'), ('ohio', 'VERB'), ('osu', 'ADJ'), ('quot', 'NOUN'), ('shirt', 'NOUN'), ('smack', 'NOUN'), ('state', 'NOUN'), ('still', 'ADV'), ('vest', 'VERB'), ('woody', 'NOUN'), ('york', 'NOUN')]"
2856,small steps,board boys clothe infant months pajamas skate summer,"[('board', 'NOUN'), ('boys', 'NOUN'), ('clothe', 'VERB'), ('infant', 'NOUN'), ('months', 'NOUN'), ('pajamas', 'NOUN'), ('skate', 'ADJ'), ('summer', 'NOUN')]"
2857,smarttuxedo,ascot available band basket black bowtie champagne chic clothe color combo complete cotton cravat cufflink cufflinks deluxe emerald fabric fusion gold grey hat head inch knot outfit pei pleat poly pre purple quot rain satin set shamrock shar shirt silver size sock solid stud suspenders tie top tuxedo weave white womens wool,"[('ascot', 'ADJ'), ('available', 'ADJ'), ('band', 'NOUN'), ('basket', 'NOUN'), ('black', 'ADJ'), ('bowtie', 'NOUN'), ('champagne', 'NOUN'), ('chic', 'VERB'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('combo', 'NOUN'), ('complete', 'ADJ'), ('cotton', 'NOUN'), ('cravat', 'NOUN'), ('cufflink', 'NOUN'), ('cufflinks', 'VERB'), ('deluxe', 'ADJ'), ('emerald', 'ADJ'), ('fabric', 'NOUN'), ('fusion', 'NOUN'), ('gold', 'NOUN'), ('grey', 'NOUN'), ('hat', 'NOUN'), ('head', 'NOUN'), ('inch', 'NOUN'), ('knot', 'NOUN'), ('outfit', 'NOUN'), ('pei', 'ADJ'), ('pleat', 'NOUN'), ('poly', 'NOUN'), ('pre', 'ADJ'), ('purple', 'ADJ'), ('quot', 'ADJ'), ('rain', 'NOUN'), ('satin', 'NOUN'), ('set', 'VERB'), ('shamrock', 'NOUN'), ('shar', 'NOUN'), ('shirt', 'NOUN'), ('silver', 'NOUN'), ('size', 'NOUN'), ('sock', 'NOUN'), ('solid', 'ADJ'), ('stud', 'NOUN'), ('suspenders', 'NOUN'), ('tie', 'VERB'), ('top', 'ADJ'), ('tuxedo', 'NOUN'), ('weave', 'NOUN'), ('white', 'ADJ'), ('womens', 'NOUN'), ('wool', 'NOUN')]"
2858,smartwool,adrenaline adults adventurer argyle black boot bottom cable casual city classic clothe crew diamond dress gray grey heather heathered hike jim kid light lightweight liner margarita medium men micro midweight mini nts outdoors rib shoe size slicker smartwool sock sport top unisex walk women womens,"[('adrenaline', 'NOUN'), ('adults', 'NOUN'), ('adventurer', 'VERB'), ('argyle', 'ADJ'), ('black', 'ADJ'), ('boot', 'NOUN'), ('bottom', 'ADJ'), ('cable', 'NOUN'), ('casual', 'ADJ'), ('city', 'NOUN'), ('classic', 'NOUN'), ('clothe', 'NOUN'), ('crew', 'NOUN'), ('diamond', 'NOUN'), ('dress', 'NOUN'), ('gray', 'ADJ'), ('grey', 'ADJ'), ('heather', 'NOUN'), ('heathered', 'VERB'), ('hike', 'NOUN'), ('jim', 'PROPN'), ('kid', 'NOUN'), ('light', 'ADJ'), ('lightweight', 'ADJ'), ('liner', 'NOUN'), ('margarita', 'NOUN'), ('medium', 'ADJ'), ('men', 'NOUN'), ('micro', 'ADJ'), ('midweight', 'ADJ'), ('mini', 'ADJ'), ('nts', 'NOUN'), ('outdoors', 'ADJ'), ('rib', 'NOUN'), ('shoe', 'NOUN'), ('size', 'NOUN'), ('slicker', 'NOUN'), ('smartwool', 'NOUN'), ('sock', 'NOUN'), ('sport', 'NOUN'), ('top', 'ADJ'), ('unisex', 'ADJ'), ('walk', 'NOUN'), ('women', 'NOUN'), ('womens', 'VERB')]"
2859,smashing pumpkins,clothe pumpkins shirt smash zero,"[('clothe', 'NOUN'), ('pumpkins', 'NOUN'), ('shirt', 'NOUN'), ('smash', 'VERB'), ('zero', 'NUM')]"
2860,smiffy's,adult banana black clothe costume dress extra face fashion festive flapper fly game green helmet inflatable large mask old one partial silver size smiffys spat strip tights toy white,"[('adult', 'NOUN'), ('banana', 'NOUN'), ('black', 'ADJ'), ('clothe', 'NOUN'), ('costume', 'NOUN'), ('dress', 'NOUN'), ('extra', 'ADJ'), ('face', 'NOUN'), ('fashion', 'NOUN'), ('festive', 'ADJ'), ('flapper', 'NOUN'), ('fly', 'NOUN'), ('game', 'NOUN'), ('green', 'ADJ'), ('helmet', 'NOUN'), ('inflatable', 'ADJ'), ('large', 'ADJ'), ('mask', 'NOUN'), ('old', 'ADJ'), ('one', 'NUM'), ('partial', 'ADJ'), ('silver', 'NOUN'), ('size', 'NOUN'), ('smiffys', 'NOUN'), ('spat', 'NOUN'), ('strip', 'NOUN'), ('tights', 'NOUN'), ('toy', 'NOUN'), ('white', 'ADJ')]"
2861,smith optics,automotive black clothe color crystal dogit factor fade fuel gloss gray gunmetal hat hoodie interchangeable max method military ooo optics photo pink pol polarize proof smith smoke smppgybk sport squid sunglasses super women,"[('automotive', 'ADJ'), ('black', 'ADJ'), ('clothe', 'NOUN'), ('color', 'NOUN'), ('crystal', 'NOUN'), ('dogit', 'ADJ'), ('factor', 'NOUN'), ('fade', 'NOUN'), ('fuel', 'NOUN'), ('gloss', 'ADJ'), ('gray', 'ADJ'), ('gunmetal', 'ADJ'), ('hat', 'NOUN'), ('hoodie', 'NOUN'), ('interchangeable', 'ADJ'), ('max', 'NOUN'), ('method', 'NOUN'), ('military', 'ADJ'), ('ooo', 'NOUN'), ('optics', 'NOUN'), ('photo', 'NOUN'), ('pink', 'ADJ'), ('pol', 'NOUN'), ('polarize', 'VERB'), ('proof', 'NOUN'), ('smith', 'NOUN'), ('smoke', 'NOUN'), ('smppgybk', 'VERB'), ('sport', 'NOUN'), ('squid', 'ADJ'), ('sunglasses', 'NOUN'), ('super', 'ADV'), ('women', 'NOUN')]"
2862,smokey & the bandit,bandit clothe large sheriff shirt smokey,"[('bandit', 'ADV'), ('clothe', 'VERB'), ('large', 'ADJ'), ('sheriff', 'NOUN'), ('shirt', 'NOUN'), ('smokey', 'NOUN')]"
2863,smokey bear,circle clothe junior shirt small smokey,"[('circle', 'NOUN'), ('clothe', 'NOUN'), ('junior', 'ADJ'), ('shirt', 'NOUN'), ('small', 'ADJ'), ('smokey', 'NOUN')]"
2864,smorth sport optics,clothe factor gray max ooo optics pol smorth sport steel,"[('clothe', 'NOUN'), ('factor', 'NOUN'), ('gray', 'ADJ'), ('max', 'NOUN'), ('ooo', 'ADP'), ('optics', 'NOUN'), ('pol', 'NOUN'), ('smorth', 'ADJ'), ('sport', 'NOUN'), ('steel', 'NOUN')]"
2865,snazaroo,clothe face paint white,"[('clothe', 'NOUN'), ('face', 'NOUN'), ('paint', 'NOUN'), ('white', 'ADJ')]"
2866,snk,clothe fatal fury hat trucker,"[('clothe', 'ADJ'), ('fatal', 'ADJ'), ('fury', 'NOUN'), ('hat', 'NOUN'), ('trucker', 'NOUN')]"
2867,snl,adult bear blue charcoal clothe livin river shirt snl tee van,"[('adult', 'NOUN'), ('bear', 'NOUN'), ('blue', 'ADJ'), ('charcoal', 'NOUN'), ('clothe', 'NOUN'), ('livin', 'NOUN'), ('river', 'NOUN'), ('shirt', 'NOUN'), ('snl', 'VERB'), ('tee', 'NOUN'), ('van', 'NOUN')]"
2868,snoop dogg,clothe dogg doggystyle gin juice shirt snoop,"[('clothe', 'NOUN'), ('dogg', 'X'), ('doggystyle', 'NOUN'), ('gin', 'NOUN'), ('juice', 'NOUN'), ('shirt', 'NOUN'), ('snoop', 'NOUN')]"
2869,snowangel,angel black clothe cybersilk doeskin legging long medium neck sleeve small snow top turtleneck white women zip,"[('angel', 'NOUN'), ('black', 'ADJ'), ('clothe', 'NOUN'), ('cybersilk', 'NOUN'), ('doeskin', 'NOUN'), ('legging', 'VERB'), ('long', 'ADJ'), ('medium', 'ADJ'), ('neck', 'NOUN'), ('sleeve', 'ADJ'), ('small', 'ADJ'), ('snow', 'NOUN'), ('top', 'ADJ'), ('turtleneck', 'NOUN'), ('white', 'ADJ'), ('women', 'NOUN'), ('zip', 'PUNCT')]"
2870,snowflake designs,chocolate clothe leotard razzleberry zee,"[('chocolate', 'NOUN'), ('clothe', 'NOUN'), ('leotard', 'ADV'), ('razzleberry', 'NOUN'), ('zee', 'NOUN')]"
2871,soapbox bags,bag bahama basic blue clothe croc nell orange satchel soapbox stripe,"[('bag', 'NOUN'), ('bahama', 'NOUN'), ('basic', 'ADJ'), ('blue', 'ADJ'), ('clothe', 'NOUN'), ('croc', 'NOUN'), ('nell', 'ADJ'), ('orange', 'ADJ'), ('satchel', 'ADJ'), ('soapbox', 'NOUN'), ('stripe', 'NOUN')]"
2872,sock company,ankle bind clothe company cotton dress lisle non sock,"[('ankle', 'NOUN'), ('bind', 'NOUN'), ('clothe', 'NOUN'), ('company', 'NOUN'), ('cotton', 'NOUN'), ('dress', 'NOUN'), ('lisle', 'NOUN'), ('non', 'X'), ('sock', 'NOUN')]"
2873,sockguy,armwarmer clothe men sock sockguy,"[('armwarmer', 'ADJ'), ('clothe', 'NOUN'), ('men', 'NOUN'), ('sock', 'NOUN'), ('sockguy', 'NOUN')]"
2874,soffe,athletic baby beach bermuda black bum charcoal clothe heather hoodie jersey junior juniors medium mesh oxford pant pleat print rib short skirt small soffe stripe twin,"[('athletic', 'ADJ'), ('baby', 'NOUN'), ('beach', 'NOUN'), ('bermuda', 'ADJ'), ('black', 'ADJ'), ('bum', 'NOUN'), ('charcoal', 'NOUN'), ('clothe', 'NOUN'), ('heather', 'NOUN'), ('hoodie', 'NOUN'), ('jersey', 'ADJ'), ('junior', 'ADJ'), ('juniors', 'NOUN'), ('medium', 'ADJ'), ('mesh', 'NOUN'), ('oxford', 'NOUN'), ('pant', 'ADJ'), ('pleat', 'NOUN'), ('print', 'NOUN'), ('rib', 'NOUN'), ('short', 'ADJ'), ('skirt', 'NOUN'), ('small', 'ADJ'), ('soffe', 'NOUN'), ('stripe', 'NOUN'), ('twin', 'NOUN')]"
2875,soft-fit,clothe cotton crew cuff fit rich roll sock soft women,"[('clothe', 'NOUN'), ('cotton', 'NOUN'), ('crew', 'NOUN'), ('cuff', 'NOUN'), ('fit', 'ADJ'), ('rich', 'ADJ'), ('roll', 'NOUN'), ('sock', 'NOUN'), ('soft', 'ADJ'), ('women', 'NOUN')]"
2876,softop,big clothe elastic non sock softop tall,"[('big', 'ADJ'), ('clothe', 'NOUN'), ('elastic', 'ADJ'), ('non', 'ADJ'), ('sock', 'NOUN'), ('softop', 'NOUN'), ('tall', 'ADJ')]"
2877,sol republic,air amps black blue bluetooth deep ear earbuds earphones gold gray headphones relay republic rich rise shadow sol sport teal true wireless,"[('air', 'NOUN'), ('amps', 'VERB'), ('black', 'ADJ'), ('blue', 'ADJ'), ('bluetooth', 'NOUN'), ('deep', 'ADJ'), ('ear', 'NOUN'), ('earbuds', 'VERB'), ('earphones', 'NOUN'), ('gold', 'ADJ'), ('gray', 'ADJ'), ('headphones', 'NOUN'), ('relay', 'NOUN'), ('republic', 'NOUN'), ('rich', 'ADJ'), ('rise', 'NOUN'), ('shadow', 'NOUN'), ('sol', 'NOUN'), ('sport', 'NOUN'), ('teal', 'VERB'), ('true', 'ADJ'), ('wireless', 'NOUN')]"
2878,solar solutions,anti black blue clothe dark eclipze light quot sunblocking umbrella,"[('anti', 'ADJ'), ('black', 'ADJ'), ('blue', 'ADJ'), ('clothe', 'NOUN'), ('dark', 'ADJ'), ('eclipze', 'NOUN'), ('light', 'ADJ'), ('quot', 'NOUN'), ('sunblocking', 'VERB'), ('umbrella', 'NOUN')]"
2879,solaroo,block clothe flap guard hat legionnaire rash short size sleeve sun swimsuit toddler years,"[('block', 'VERB'), ('clothe', 'NOUN'), ('flap', 'NOUN'), ('guard', 'NOUN'), ('hat', 'NOUN'), ('legionnaire', 'NOUN'), ('rash', 'VERB'), ('short', 'ADJ'), ('size', 'NOUN'), ('sleeve', 'NOUN'), ('sun', 'NOUN'), ('swimsuit', 'NOUN'), ('toddler', 'NOUN'), ('years', 'NOUN')]"
2880,sole,clothe cushion heat insole mens moldable regular shoeinserts sole ultra,"[('clothe', 'NOUN'), ('cushion', 'NOUN'), ('heat', 'NOUN'), ('insole', 'NOUN'), ('mens', 'VERB'), ('moldable', 'VERB'), ('regular', 'ADJ'), ('shoeinserts', 'NOUN'), ('sole', 'ADV'), ('ultra', 'ADV')]"
2881,solis,blue clear clothe eyewear goggle performance solis sunglasses,"[('blue', 'ADJ'), ('clear', 'ADJ'), ('clothe', 'NOUN'), ('eyewear', 'NOUN'), ('goggle', 'NOUN'), ('performance', 'NOUN'), ('solis', 'ADJ'), ('sunglasses', 'NOUN')]"
2882,solo,accessories air airport aluminum apple around attache bag bifold black car case catalog check classic clothe cognac collection computer computers cover ebags electronics fast flip friendly hold inch ipad laptop leather luggage notebook overnighter pad padfolio pocket portfolio pro pvc quot roll security silver solo state tan unite zip,"[('accessories', 'NOUN'), ('air', 'NOUN'), ('airport', 'NOUN'), ('aluminum', 'NOUN'), ('apple', 'NOUN'), ('around', 'ADP'), ('attache', 'NOUN'), ('bag', 'NOUN'), ('bifold', 'NOUN'), ('black', 'ADJ'), ('car', 'NOUN'), ('case', 'NOUN'), ('catalog', 'NOUN'), ('check', 'NOUN'), ('classic', 'ADJ'), ('clothe', 'NOUN'), ('cognac', 'NOUN'), ('collection', 'NOUN'), ('computer', 'NOUN'), ('computers', 'NOUN'), ('cover', 'VERB'), ('ebags', 'NOUN'), ('electronics', 'NOUN'), ('fast', 'VERB'), ('flip', 'VERB'), ('friendly', 'ADJ'), ('hold', 'NOUN'), ('inch', 'NOUN'), ('ipad', 'NOUN'), ('laptop', 'NOUN'), ('leather', 'NOUN'), ('luggage', 'NOUN'), ('notebook', 'NOUN'), ('overnighter', 'NOUN'), ('pad', 'NOUN'), ('padfolio', 'NOUN'), ('pocket', 'NOUN'), ('portfolio', 'NOUN'), ('pro', 'X'), ('pvc', 'NOUN'), ('quot', 'NOUN'), ('roll', 'NOUN'), ('security', 'NOUN'), ('silver', 'NOUN'), ('solo', 'NOUN'), ('state', 'NOUN'), ('tan', 'NOUN'), ('unite', 'NOUN'), ('zip', 'NOUN')]"
2883,solutions that stick,black clothe garment guard pack pair regular shield style underarm,"[('black', 'ADJ'), ('clothe', 'NOUN'), ('garment', 'NOUN'), ('guard', 'NOUN'), ('pack', 'NOUN'), ('pair', 'NOUN'), ('regular', 'ADJ'), ('shield', 'NOUN'), ('style', 'NOUN'), ('underarm', 'ADJ')]"
2884,sona,clothe crochet daisies denim floppy gimp girls hand large,"[('clothe', 'NOUN'), ('crochet', 'NOUN'), ('daisies', 'NOUN'), ('denim', 'VERB'), ('floppy', 'ADJ'), ('gimp', 'ADJ'), ('girls', 'NOUN'), ('hand', 'NOUN'), ('large', 'ADJ')]"
2885,sonax,inch mount sonax stand tilt wall,"[('inch', 'NOUN'), ('mount', 'NOUN'), ('sonax', 'NOUN'), ('stand', 'VERB'), ('tilt', 'NOUN'), ('wall', 'NOUN')]"
2886,sonette/yupoong,big black cap clothe comb dark extra flexfit grey navy size stone twill wooly xxl yupoong,"[('big', 'ADJ'), ('black', 'ADJ'), ('cap', 'NOUN'), ('clothe', 'NOUN'), ('comb', 'NOUN'), ('dark', 'ADJ'), ('extra', 'ADJ'), ('flexfit', 'NOUN'), ('grey', 'ADJ'), ('navy', 'NOUN'), ('size', 'NOUN'), ('stone', 'NOUN'), ('twill', 'NOUN'), ('wooly', 'ADJ'), ('xxl', 'NOUN'), ('yupoong', 'ADV')]"
2887,sonic alert,alarm alert boom clock sonic white,"[('alarm', 'NOUN'), ('alert', 'ADJ'), ('boom', 'NOUN'), ('clock', 'NOUN'), ('sonic', 'NOUN'), ('white', 'ADJ')]"
2888,sonos,black kit pair play playbar sonos soundbar speaker sub subwoofer white wireless,"[('black', 'ADJ'), ('kit', 'NOUN'), ('pair', 'NOUN'), ('play', 'NOUN'), ('playbar', 'NOUN'), ('sonos', 'VERB'), ('soundbar', 'NOUN'), ('speaker', 'NOUN'), ('sub', 'NOUN'), ('subwoofer', 'VERB'), ('white', 'ADJ'), ('wireless', 'NOUN')]"
